 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    1,   3, 300,   0,   1
 # Q, deltaE, Total
    0.050000,   21.499262,   -1.000000
    0.050000,   21.599259,   -1.000000
    0.050000,   21.699256,   -1.000000
    0.050000,   21.799252,   -1.000000
    0.050000,   21.899249,   -1.000000
    0.050000,   21.999245,   -1.000000
    0.050000,   22.099242,   -1.000000
    0.050000,   22.199238,   -1.000000
    0.050000,   22.299235,   -1.000000
    0.050000,   22.399232,   -1.000000
    0.050000,   22.499228,   -1.000000
    0.050000,   22.599225,   -1.000000
    0.050000,   22.699221,   -1.000000
    0.050000,   22.799218,   -1.000000
    0.050000,   22.899214,   -1.000000
    0.050000,   22.999211,   -1.000000
    0.050000,   23.099208,   -1.000000
    0.050000,   23.199204,   -1.000000
    0.050000,   23.299201,   -1.000000
    0.050000,   23.399197,   -1.000000
    0.050000,   23.499194,   -1.000000
    0.050000,   23.599190,   -1.000000
    0.050000,   23.699187,   -1.000000
    0.050000,   23.799183,   -1.000000
    0.050000,   23.899180,   -1.000000
    0.050000,   23.999177,   -1.000000
    0.050000,   24.099173,   -1.000000
    0.050000,   24.199170,   -1.000000
    0.050000,   24.299166,   -1.000000
    0.050000,   24.399163,   -1.000000
    0.050000,   24.499159,   -1.000000
    0.050000,   24.599156,   -1.000000
    0.050000,   24.699153,   -1.000000
    0.050000,   24.799149,   -1.000000
    0.050000,   24.899146,   -1.000000
    0.050000,   24.999142,   -1.000000
    0.050000,   25.099139,   -1.000000
    0.050000,   25.199135,   -1.000000
    0.050000,   25.299132,   -1.000000
    0.050000,   25.399129,   -1.000000
    0.050000,   25.499125,   -1.000000
    0.050000,   25.599122,   -1.000000
    0.050000,   25.699118,   -1.000000
    0.050000,   25.799115,   -1.000000
    0.050000,   25.899111,   -1.000000
    0.050000,   25.999108,   -1.000000
    0.050000,   26.099105,   -1.000000
    0.050000,   26.199101,   -1.000000
    0.050000,   26.299098,   -1.000000
    0.050000,   26.399094,   -1.000000
    0.050000,   26.499091,   -1.000000
    0.050000,   26.599087,   -1.000000
    0.050000,   26.699084,   -1.000000
    0.050000,   26.799081,   -1.000000
    0.050000,   26.899077,   -1.000000
    0.050000,   26.999074,   -1.000000
    0.050000,   27.099070,   -1.000000
    0.050000,   27.199067,   -1.000000
    0.050000,   27.299063,   -1.000000
    0.050000,   27.399060,   -1.000000
    0.050000,   27.499057,   -1.000000
    0.050000,   27.599053,   -1.000000
    0.050000,   27.699050,   -1.000000
    0.050000,   27.799046,   -1.000000
    0.050000,   27.899043,   -1.000000
    0.050000,   27.999039,   -1.000000
    0.050000,   28.099036,   -1.000000
    0.050000,   28.199033,   -1.000000
    0.050000,   28.299029,   -1.000000
    0.050000,   28.399026,   -1.000000
    0.050000,   28.499022,   -1.000000
    0.050000,   28.599019,   -1.000000
    0.050000,   28.699015,   -1.000000
    0.050000,   28.799012,   -1.000000
    0.050000,   28.899009,   -1.000000
    0.050000,   28.999005,   -1.000000
    0.050000,   29.099002,   -1.000000
    0.050000,   29.198998,   -1.000000
    0.050000,   29.298995,   -1.000000
    0.050000,   29.398991,   -1.000000
    0.050000,   29.498988,   -1.000000
    0.050000,   29.598985,   -1.000000
    0.050000,   29.698981,   -1.000000
    0.050000,   29.798978,   -1.000000
    0.050000,   29.898974,   -1.000000

    0.100000,    0.099997,    0.108721
    0.100000,    0.199993,    0.115811
    0.100000,    0.299990,    0.122739
    0.100000,    0.399986,    0.129436
    0.100000,    0.499983,    0.135837
    0.100000,    0.599979,    0.141882
    0.100000,    0.699976,    0.147516
    0.100000,    0.799973,    0.152688
    0.100000,    0.899969,    0.157359
    0.100000,    0.999966,    0.161496
    0.100000,    1.099962,    0.165075
    0.100000,    1.199959,    0.168081
    0.100000,    1.299955,    0.170509
    0.100000,    1.399952,    0.172361
    0.100000,    1.499949,    0.173647
    0.100000,    1.599945,   -1.000000
    0.100000,    1.699942,   -1.000000
    0.100000,    1.799938,   -1.000000
    0.100000,    1.899935,   -1.000000
    0.100000,    1.999931,   -1.000000
    0.100000,    2.099928,   -1.000000
    0.100000,    2.199925,   -1.000000
    0.100000,    2.299921,   -1.000000
    0.100000,    2.399918,   -1.000000
    0.100000,    2.499914,   -1.000000
    0.100000,    2.599911,   -1.000000
    0.100000,    2.699907,   -1.000000
    0.100000,    2.799904,   -1.000000
    0.100000,    2.899901,   -1.000000
    0.100000,    2.999897,   -1.000000
    0.100000,    3.099894,   -1.000000
    0.100000,    3.199890,   -1.000000
    0.100000,    3.299887,   -1.000000
    0.100000,    3.399883,   -1.000000
    0.100000,    3.499880,   -1.000000
    0.100000,    3.599876,   -1.000000
    0.100000,    3.699873,   -1.000000
    0.100000,    3.799870,   -1.000000
    0.100000,    3.899866,   -1.000000
    0.100000,    3.999863,   -1.000000
    0.100000,    4.099859,   -1.000000
    0.100000,    4.199856,   -1.000000
    0.100000,    4.299852,   -1.000000
    0.100000,    4.399849,   -1.000000
    0.100000,    4.499846,   -1.000000
